"STATION","NAME","DATE","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-01","0.63","0.0","0.0","   90","   90","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-02","0.07","0.0","0.0","  310","  310","30.0","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-03","0.12","0.0","0.0","   40","   40","21.0","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-04","0.01","0.0","0.0","  340","  340","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-05","0.00","0.0","0.0","  330","  330","17.0","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-06","0.00","0.0","0.0","  310","  310","25.1","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-07","0.00","0.0","0.0","  330","  310","23.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-08","0.00","0.0","0.0","  350","  350","21.9","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-09","0.00","0.0","0.0","  350","  350","23.9","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-10","0.00","0.0","0.0","  340","  350","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-11","0.00","0.0","0.0","  350","  310","10.1","14.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-12","0.00","0.0","0.0","  360","  320","10.1","13.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-13","0.00","0.0","0.0","  260","  280","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-14","0.00","0.0","0.0","   10","  350","8.9","13.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-15","0.36","0.0","0.0","   90","  100","30.0","44.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-16","0.88","0.0","0.0","  100","   70","25.9","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-17","0.00","0.0","0.0","  260","  260","29.1","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-18","0.00","0.0","0.0","  270","  280","23.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-19","0.00","0.0","0.0","  270","  270","25.1","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-20","0.02","0.2","0.0","  310","  300","31.1","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-21","0.00","0.0","0.0","  230","  230","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-22","0.00","0.0","0.0","  270","  280","25.1","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-23","0.00","0.0","0.0","  310","  310","32.0","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-24","0.00","0.0","0.0","  310","  320","31.1","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-25","0.00","0.0","0.0","  330","  310","16.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-26","0.13","0.0","0.0","  310","   70","19.9","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-27","0.00","0.0","0.0","  320","  320","23.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-28","0.00","0.0","0.0","  330","  320","38.9","49.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-29","0.00","0.0","0.0","  320","  310","45.0","53.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-30","0.00","0.0","0.0","  330","  330","23.0","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-01-31","0.06","0.7","0.0","   40","   40","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-01","1.32","11.9","3.9","   40","   30","40.9","51.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-02","0.03","0.0","13.0","   20","   20","28.0","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-03","0.00","0.0","11.0","  330","  320","23.9","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-04","0.00","0.0","9.1","  300","  300","23.0","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-05","0.02","0.0","7.9","  210","  210","29.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-06","0.00","0.0","5.9","  260","  270","31.1","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-07","0.46","6.9","5.1","  320","  320","25.1","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-08","0.00","0.0","11.8","  310","  310","23.9","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-09","0.01","0.0","9.8","  340","  340","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-10","0.00","0.0","9.1","  330","  340","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-11","0.18","2.2","11.0","  340","  330","16.1","18.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-12","0.00","0.0","9.8","   10","   20","18.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-13","0.01","0.0","9.1","   20","   20","18.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-02-14","0.00","0.0","9.1","   30","   30","16.1","19.9"
